#Clade                                                Targets  Neighbors  Unknowns  Split (%)  Parent  Dist(Parent)
nGCA_000210475.1_ASM21047v1_genomic.fna               0        0          1         3.85       236     0.000756
nGCA_000212715.2_ASM21271v2_genomic.fna               0        0          1         3.85       158     0.00147
nGCA_000219515.3_ASM21951v3_genomic.fna               0        0          1         3.85       79      0.00648
nGCA_000220005.2_ASM22000v2_genomic.fna               0        0          1         3.85       166     0.000542
nGCA_000227625.1_ASM22762v1_genomic.fna               0        0          1         3.85       4       0.000279
nGCA_000233875.1_ASM23387v1_genomic.fna               0        0          1         3.85       65      3.33e-07
nGCA_000233895.1_ASM23389v1_genomic.fna               0        0          1         3.85       65      1.17e-06
nGCA_000245515.1_ASM24551v1_genomic.fna               0        0          1         3.85       298     8.94e-05
nGCA_000257275.1_ASM25727v1_genomic.fna               0        0          1         3.85       159     0.00284
nGCA_000258025.1_ASM25802v1_genomic.fna               0        0          1         3.85       153     0.000127
nGCA_000258145.1_ASM25814v1_genomic.fna               0        0          1         3.85       152     1.71e-05
nGCA_000262125.1_ASM26212v1_genomic.fna               0        0          1         3.85       412     2.82e-05
nGCA_000269645.2_PB_Esch_coli_MG12655_V1_genomic.fna  0        0          1         3.85       223     0
nGCA_000270105.1_ASM27010v1_genomic.fna               0        0          1         3.85       228     2.22e-05
nGCA_000273425.1_Esch_coli_MG12655_V1_genomic.fna     0        0          1         3.85       222     0
nGCA_000284495.1_ASM28449v1_genomic.fna               0        0          1         3.85       76      0
nGCA_000285655.3_EC958.v1_genomic.fna                 0        0          1         3.85       19      0.000202
nGCA_000299255.1_ASM29925v1_genomic.fna               0        0          1         3.85       121     1.31e-05
nGCA_000299455.1_ASM29945v1_genomic.fna               0        0          1         3.85       125     2.16e-05
nGCA_000299475.1_ASM29947v1_genomic.fna               0        0          1         3.85       123     1.67e-06
nGCA_000332755.1_ASM33275v1_genomic.fna               0        0          1         3.85       92      5.7e-05
nGCA_000464955.2_ASM46495v2_genomic.fna               0        0          1         3.85       138     0.00293
nGCA_000468515.1_ASM46851v1_genomic.fna               0        0          1         3.85       153     5.13e-05
nGCA_000474035.1_ASM47403v1_genomic.fna               0        0          1         3.85       174     0
nGCA_000493595.1_EcoPMV1_genomic.fna                  0        0          1         3.85       44      0.000244
nGCA_000493755.1_ASM49375v1_genomic.fna               0        0          1         3.85       21      9.39e-05
nGCA_000499485.1_MYMC4100_genomic.fna                 0        0          1         3.85       170     1.63e-05
